survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,pclass_redundant,fare_age_combination
0,3,male,22.0,1,0,,c,Third,man,True,,Southampton,no,False,3,
1,1,FEMALE,456.0,1,0,71.31240270832502,,First,woman,False,C,Cherbourg,yes,False,1,32518.45563499621
1,3,female,26.0,0,0,,S,Third,woman,False,,Southampton,yes,True,3,
1,1,female,420.0,1,0,53.28486788385264,S,First,woman,False,C,Southampton,yes,False,1,22379.644511218103
0,3,male,35.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,C,Third,man,True,,Queenstown,no,True,3,
0,1,male,54.0,0,0,51.314333644030754,S,First,man,True,E,Southampton,no,True,1,2770.974016777661
0,3,MALE,2.0,3,1,,,Third,child,False,,Southampton,no,False,3,
1,3,female,27.0,0,2,,,Third,woman,False,,Southampton,yes,False,3,
1,2,female,14.0,1,0,31.07517663476313,S,Second,child,False,,Cherbourg,yes,False,2,435.0524728866839
1,3,female,4.0,1,1,,S,Third,child,False,G,Southampton,yes,False,3,
1,1,FEMALE,58.0,0,0,,,First,woman,False,C,Southampton,yes,True,1,
0,3,MALE,20.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,39.0,1,5,,s,Third,man,True,,Southampton,no,False,3,
0,3,female,14.0,0,0,,,Third,child,False,,Southampton,no,True,3,
1,2,female,55.0,0,0,15.445944706587216,S,Second,woman,False,,Southampton,yes,True,2,849.5269588622969
0,3,male,24.0,4,1,,S,Third,child,False,,Queenstown,no,False,3,
1,2,male,,0,0,11.6837299589259,S,Second,man,True,,Southampton,yes,True,2,
0,3,female,372.0,1,0,,S,Third,woman,False,,Southampton,no,False,3,
1,3,female,,0,0,,S,Third,woman,False,,Cherbourg,yes,True,3,
0,2,male,35.0,0,0,24.8001402778204,S,Second,man,True,,Southampton,no,True,2,868.004909723714
1,2,male,34.0,0,0,13.553363568772625,s,Second,man,True,D,Southampton,yes,True,2,460.8143613382692
1,3,female,15.0,0,0,,Q,Third,child,False,,Queenstown,yes,True,3,
1,1,male,150.0,0,0,5124.072070297391,,First,man,True,A,Southampton,yes,True,1,768610.8105446087
0,3,female,8.0,3,1,,Q,Third,child,False,,Southampton,no,False,3,
1,3,female,38.0,1,5,,S,Third,woman,False,,Southampton,yes,False,3,
0,3,male,,0,0,,s,Third,man,True,,Cherbourg,no,True,3,
0,1,male,19.0,3,2,263.17698631145504,s,First,man,True,C,Southampton,no,False,1,5000.362739917646
1,3,female,,0,0,,S,Third,woman,False,,Queenstown,yes,True,3,
0,3,male,,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,1,male,150.0,0,0,5123.927446028315,S,First,man,True,,Cherbourg,no,True,1,768589.1169042472
1,1,female,,1,0,,,First,woman,False,B,Cherbourg,yes,False,1,
1,3,female,,0,0,,,Third,woman,False,,Queenstown,yes,True,3,
0,2,MALE,66.0,0,0,10.90330039024528,C,Second,man,True,,Southampton,no,True,2,719.6178257561886
0,1,MALE,28.0,1,0,83.97731621066201,S,First,man,True,,Cherbourg,no,False,1,2351.364853898536
0,1,MALE,42.0,1,0,53.09516041172023,S,First,man,True,,Southampton,no,False,1,2229.9967372922497
1,3,male,,0,0,,S,Third,man,True,,Cherbourg,yes,True,3,
0,3,male,252.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,female,18.0,2,0,,S,Third,woman,False,,Southampton,no,False,3,
1,3,female,150.0,1,0,,,Third,child,False,,Cherbourg,yes,False,3,
0,3,female,40.0,1,0,,s,Third,woman,False,,Southampton,no,False,3,
0,2,female,324.0,1,0,,S,Second,woman,False,,Southampton,no,False,2,
0,3,male,,0,0,,C,Third,man,True,,Cherbourg,no,True,3,
1,2,FEMALE,3.0,1,2,41.06059202096971,s,Second,child,False,,Cherbourg,yes,False,2,123.18177606290912
1,3,female,,0,0,,S,Third,woman,False,,Queenstown,yes,True,3,
0,3,male,,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,,1,0,,,Third,man,True,,Queenstown,no,False,3,
1,3,female,,0,0,,C,Third,woman,False,,Queenstown,yes,True,3,
0,3,male,,2,0,,,Third,man,True,,Cherbourg,no,False,3,
0,3,female,18.0,1,0,,C,Third,woman,False,,Southampton,no,False,3,
0,3,MALE,7.0,4,1,,,Third,child,False,,Southampton,no,False,3,
0,3,male,21.0,0,0,,c,Third,man,True,,Southampton,no,True,3,
1,1,FEMALE,49.0,1,0,75.80896147022362,,First,woman,False,D,Cherbourg,yes,False,1,3714.6391120409576
1,2,FEMALE,29.0,1,0,,Q,Second,woman,False,,Southampton,yes,False,2,
0,1,male,780.0,0,1,61.70904000761733,,First,man,True,B,Cherbourg,no,False,1,48133.05120594152
1,1,MALE,,0,0,36.75481194346917,c,First,man,True,C,Southampton,yes,True,1,
1,2,female,21.0,0,0,9.95374096187396,S,Second,woman,False,,Southampton,yes,True,2,209.0285601993532
0,3,male,28.5,0,0,,S,Third,man,True,,Cherbourg,no,True,3,
1,2,female,5.0,1,2,27.82587738995981,S,Second,child,False,,Southampton,yes,False,2,139.12938694979908
0,3,male,11.0,5,2,,C,Third,child,False,,Southampton,no,False,3,
0,3,male,22.0,0,0,,,Third,man,True,,Cherbourg,no,True,3,
1,1,female,456.0,0,0,79.6384114194244,S,First,woman,False,B,,yes,True,1,36315.115607257525
0,1,MALE,45.0,1,0,83.25025437948501,,First,man,True,C,Southampton,no,False,1,3746.261447076826
0,3,male,4.0,3,2,,,Third,child,False,,Southampton,no,False,3,
0,1,male,,0,0,27.91974969648331,,First,man,True,,Cherbourg,no,True,1,
1,3,male,,1,1,,,Third,man,True,,Cherbourg,yes,False,3,
1,2,female,,0,0,,S,Second,woman,False,F,Southampton,yes,True,2,
0,3,MALE,,0,0,,S,Third,man,True,,Southampton,no,True,3,
1,3,female,17.0,4,2,,c,Third,woman,False,,Southampton,yes,False,3,
0,3,MALE,26.0,2,0,,S,Third,man,True,,Southampton,no,False,3,
0,2,male,150.0,0,0,5124.443219640786,,Second,man,True,,Southampton,no,True,2,768666.4829461179
0,3,female,16.0,5,2,,Q,Third,woman,False,,Southampton,no,False,3,
0,2,male,150.0,0,0,5124.487139179834,S,Second,man,True,,Southampton,no,True,2,768673.0708769751
0,3,MALE,26.0,1,0,,S,Third,man,True,,Cherbourg,no,False,3,
1,3,male,384.0,0,0,,S,Third,man,True,,Southampton,yes,True,3,
0,3,male,25.0,0,0,,,Third,man,True,F,Southampton,no,True,3,
0,3,male,,0,0,,,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,,Third,man,True,,Southampton,no,True,3,
1,2,male,0.83,0,2,29.507420927833287,C,Second,child,False,,Southampton,yes,False,2,24.491159370101627
1,3,female,30.0,0,0,,,Third,woman,False,,Southampton,yes,True,3,
0,3,MALE,22.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
1,3,male,348.0,0,0,,S,Third,man,True,,Southampton,yes,True,3,
1,3,female,,0,0,,C,Third,woman,False,,Queenstown,yes,True,3,
0,1,male,28.0,0,0,47.27721878507169,S,First,man,True,,Southampton,no,True,1,1323.762125982007
1,2,female,17.0,0,0,9.1837299589259,,Second,woman,False,,Southampton,yes,True,2,156.1234093017403
1,3,female,396.0,3,0,,S,Third,woman,False,,Southampton,yes,False,3,
0,3,male,150.0,1,3,,S,Third,man,True,,Southampton,no,False,3,
0,3,male,,0,0,,C,Third,man,True,,Southampton,no,True,3,
1,1,FEMALE,23.0,3,2,262.7898330922081,C,First,woman,False,C,Southampton,yes,False,1,6044.166161120786
0,3,male,24.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,29.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,20.0,0,0,,,Third,man,True,,Southampton,no,True,3,
0,1,male,46.0,1,0,,,First,man,True,E,Southampton,no,False,1,
0,3,male,26.0,1,2,,,Third,man,True,,Southampton,no,False,3,
0,3,male,59.0,0,0,,C,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,C,Third,man,True,,Southampton,no,True,3,
0,1,male,71.0,0,0,34.994854136412144,S,First,man,True,A,Cherbourg,no,True,1,2484.6346436852623
1,1,male,276.0,0,1,62.53683047097035,,First,man,True,D,Cherbourg,yes,False,1,17260.165209987816
1,2,female,408.0,0,1,,S,Second,woman,False,,Southampton,yes,False,2,
0,2,male,34.0,1,0,26.59564405756972,S,Second,man,True,,Southampton,no,False,2,904.2518979573704
0,3,female,336.0,0,0,,S,Third,woman,False,,Southampton,no,True,3,
0,3,male,,0,0,,C,Third,man,True,,Southampton,no,True,3,
0,1,male,21.0,0,1,76.65721355593486,,First,man,True,D,Southampton,no,False,1,1609.801484674632
0,3,male,33.0,0,0,,,Third,man,True,,Southampton,no,True,3,
0,3,MALE,37.0,2,0,,s,Third,man,True,,Southampton,no,False,3,
0,3,male,28.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
1,3,female,21.0,0,0,,q,Third,woman,False,,Southampton,yes,True,3,
1,3,male,,0,0,,S,Third,man,True,,Southampton,yes,True,3,
0,3,male,38.0,0,0,,,Third,man,True,,Southampton,no,True,3,
1,3,female,,1,0,,S,Third,woman,False,,Queenstown,yes,False,3,
0,1,male,47.0,0,0,52.14891007584637,S,First,man,True,C,Southampton,no,True,1,2450.99877356478
0,3,female,14.5,1,0,,,Third,child,False,,Cherbourg,no,False,3,
0,3,MALE,22.0,0,0,,c,Third,man,True,,Southampton,no,True,3,
0,3,FEMALE,240.0,1,0,,S,Third,woman,False,,Southampton,no,False,3,
0,3,female,204.0,0,0,,,Third,woman,False,,Cherbourg,no,True,3,
0,3,MALE,21.0,0,0,,s,Third,man,True,,Southampton,no,True,3,
0,3,MALE,846.0,0,0,,,Third,man,True,,Queenstown,no,True,3,
0,2,male,29.0,1,0,21.608442069474197,S,Second,man,True,,Southampton,no,False,2,626.6448200147516
0,1,MALE,288.0,0,1,247.413445209286,S,First,man,True,B,Cherbourg,no,False,1,71255.07222027436
0,3,female,2.0,4,2,,S,Third,child,False,,Southampton,no,False,3,
0,2,MALE,150.0,2,0,5124.000718673518,,Second,man,True,,Southampton,no,False,2,768600.1078010277
0,3,MALE,,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,2,male,32.5,1,0,29.774753899678764,Q,Second,man,True,,Cherbourg,no,False,2,967.6795017395598
1,2,female,32.5,0,0,13.064167125624676,,Second,woman,False,E,Southampton,yes,True,2,424.5854315828019
0,1,male,54.0,0,1,77.00133136331202,Q,First,man,True,D,Southampton,no,False,1,4158.071893618849
1,3,male,12.0,1,0,,S,Third,child,False,,Cherbourg,yes,False,3,
0,3,MALE,,0,0,,s,Third,man,True,,Queenstown,no,True,3,
1,3,MALE,24.0,0,0,,,Third,man,True,,Southampton,yes,True,3,
1,3,female,,1,1,,S,Third,woman,False,F,Cherbourg,yes,False,3,
0,3,male,45.0,0,0,,,Third,man,True,,Southampton,no,True,3,
0,3,male,33.0,0,0,,,Third,man,True,,Cherbourg,no,True,3,
0,3,male,20.0,0,0,,C,Third,man,True,,Southampton,no,True,3,
0,3,female,47.0,1,0,,Q,Third,woman,False,,Southampton,no,False,3,
1,2,female,29.0,1,0,25.9805313009229,S,Second,woman,False,,Southampton,yes,False,2,753.4354077267642
0,2,MALE,300.0,0,0,13.586332975578136,s,Second,man,True,,Southampton,no,True,2,4075.8998926734407
0,2,male,23.0,0,0,15.12155934319838,S,Second,man,True,,Cherbourg,no,True,2,347.79586489356274
1,1,female,150.0,0,2,5122.931352087934,,First,woman,False,D,Southampton,yes,False,1,768439.7028131901
0,1,male,,1,0,,S,First,man,True,C,Southampton,no,False,1,
0,3,male,16.0,0,0,,,Third,man,True,,Southampton,no,True,3,
0,1,MALE,,0,0,,S,First,man,True,B,Cherbourg,no,True,1,
0,3,FEMALE,,0,2,,,Third,woman,False,,Cherbourg,no,False,3,
1,3,female,150.0,0,0,,,Third,woman,False,,Southampton,yes,True,3,
1,3,female,24.0,1,0,,S,Third,woman,False,,Southampton,yes,False,3,
0,3,male,19.0,0,0,,s,Third,man,True,,Queenstown,no,True,3,
0,2,male,18.0,0,0,11.21383136331203,C,Second,man,True,,Southampton,no,True,2,201.84896453961653
0,2,male,228.0,1,1,36.705256819237405,S,Second,man,True,,Southampton,no,False,2,8368.798554786128
1,3,male,27.0,0,0,,C,Third,man,True,,Southampton,yes,True,3,
0,3,female,9.0,2,2,,C,Third,child,False,,Southampton,no,False,3,
0,2,male,36.5,0,2,24.60616895618708,,Second,man,True,F,Southampton,no,False,2,898.1251669008283
0,2,male,42.0,0,0,14.622498340901014,S,Second,man,True,,Southampton,no,True,2,614.1449303178426
0,2,MALE,51.0,0,0,11.81827023648076,S,Second,man,True,,Southampton,no,True,2,602.7317820605188
1,1,female,22.0,1,0,,,First,woman,False,C,Southampton,yes,False,1,
0,3,male,666.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,40.5,0,2,,S,Third,man,True,,Southampton,no,False,3,
0,3,MALE,,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,1,male,51.0,0,1,63.28075925511367,q,First,man,True,,Cherbourg,no,False,1,3227.318722010797
1,3,female,16.0,0,0,,S,Third,woman,False,,Queenstown,yes,True,3,
0,3,male,30.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,,8,2,,S,Third,man,True,,Southampton,no,False,3,
0,3,male,44.0,0,1,,S,Third,man,True,,Southampton,no,False,3,
1,2,female,480.0,0,0,,s,Second,woman,False,,Southampton,yes,True,2,
0,3,male,312.0,0,0,,,Third,man,True,,Southampton,no,True,3,
0,3,male,17.0,0,0,,,Third,man,True,,Southampton,no,True,3,
0,3,male,12.0,4,1,,,Third,child,False,,Southampton,no,False,3,
1,3,MALE,150.0,0,2,,S,Third,child,False,,Southampton,yes,False,3,
1,1,female,,0,1,,Q,First,woman,False,E,Southampton,yes,False,1,
0,3,female,45.0,1,4,,s,Third,woman,False,,Southampton,no,False,3,
0,1,male,,0,0,,C,First,man,True,,Southampton,no,True,1,
0,3,male,336.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,1,male,61.0,0,0,32.38258182648661,,First,man,True,B,Southampton,no,True,1,1975.337491415683
0,3,male,48.0,4,1,,C,Third,child,False,,Queenstown,no,False,3,
1,3,female,1.0,1,1,,S,Third,child,False,,Southampton,yes,False,3,
0,3,male,21.0,0,0,,Q,Third,man,True,,Southampton,no,True,3,
0,1,male,56.0,0,0,30.694063476724303,S,First,man,True,A,Cherbourg,no,True,1,1718.867554696561
0,3,male,18.0,1,1,,S,Third,man,True,,Southampton,no,False,3,
0,3,male,,3,1,,S,Third,man,True,,Southampton,no,False,3,
0,1,female,50.0,0,0,,Q,First,woman,False,C,Cherbourg,no,True,1,
0,2,MALE,360.0,0,0,,,Second,man,True,,Southampton,no,True,2,
0,3,male,36.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,female,,8,2,,S,Third,woman,False,,Southampton,no,False,3,
0,2,male,,0,0,16.21503210483946,S,Second,man,True,,Cherbourg,no,True,2,
0,3,MALE,108.0,4,2,,s,Third,child,False,,Southampton,no,False,3,
1,2,MALE,12.0,2,1,,s,Second,child,False,F,Southampton,yes,False,2,
1,3,female,4.0,0,2,,,Third,child,False,,Southampton,yes,False,3,
0,1,male,,0,0,49.72730541784754,s,First,man,True,A,Southampton,no,True,1,
1,3,FEMALE,,1,0,,Q,Third,woman,False,,Queenstown,yes,False,3,
1,1,male,45.0,0,0,26.900942504895703,C,First,man,True,,Southampton,yes,True,1,1210.5424127203069
0,3,male,40.0,1,1,,,Third,man,True,,Queenstown,no,False,3,
0,3,male,36.0,0,0,,Q,Third,man,True,,Southampton,no,True,3,
1,2,female,32.0,0,0,10.277722259076857,c,Second,woman,False,,Southampton,yes,True,2,328.88711229045936
0,2,MALE,19.0,0,0,12.78667020069073,,Second,man,True,,Southampton,no,True,2,242.94673381312387
1,3,FEMALE,19.0,1,0,,C,Third,woman,False,,Southampton,yes,False,3,
1,2,male,3.0,1,1,26.64949736485924,S,Second,child,False,F,Southampton,yes,False,2,79.94849209457772
1,1,female,44.0,0,0,,s,First,woman,False,B,Cherbourg,yes,True,1,
1,1,female,58.0,0,0,145.40252584543472,S,First,woman,False,B,Cherbourg,yes,True,1,8433.346499035213
0,3,male,150.0,0,0,,,Third,man,True,,Queenstown,no,True,3,
0,3,MALE,42.0,0,1,,S,Third,man,True,,Southampton,no,False,3,
1,3,FEMALE,,0,0,,S,Third,woman,False,,Queenstown,yes,True,3,
0,2,female,24.0,0,0,12.435018088967924,S,Second,woman,False,,Southampton,no,True,2,298.4404341352302
0,3,male,336.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,,8,2,,S,Third,man,True,,Southampton,no,False,3,
0,3,male,34.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,MALE,45.5,0,0,,S,Third,man,True,,Cherbourg,no,True,3,
1,3,male,,0,0,,S,Third,man,True,,Southampton,yes,True,3,
0,3,female,24.0,0,1,,S,Third,child,False,G,Southampton,no,False,3,
0,3,male,32.0,1,0,,S,Third,man,True,,Southampton,no,False,3,
1,3,male,26.0,0,0,,C,Third,man,True,,Cherbourg,yes,True,3,
1,3,female,,0,0,,c,Third,woman,False,,Queenstown,yes,True,3,
1,1,male,,0,0,,c,First,man,True,A,Cherbourg,yes,True,1,
0,3,male,,0,0,,s,Third,man,True,,Southampton,no,True,3,
1,2,female,35.0,0,0,20.40489656135228,S,Second,woman,False,,Southampton,yes,True,2,714.1713796473297
0,3,male,22.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,2,male,30.0,0,0,13.519999075797813,,Second,man,True,,Southampton,no,True,2,405.5999722739343
1,1,female,31.0,1,0,112.27895021399824,,First,woman,False,D,Cherbourg,yes,False,1,3480.647456633945
1,3,female,324.0,0,0,,C,Third,woman,False,,Southampton,yes,True,3,
0,2,male,504.0,1,0,28.28650311907193,,Second,man,True,,Southampton,no,False,2,14256.397572012253
1,1,female,32.0,0,0,75.83766641968056,S,First,woman,False,D,Cherbourg,yes,True,1,2426.805325429778
0,2,male,,0,0,,S,Second,man,True,,Southampton,no,True,2,
1,3,MALE,16.0,0,0,,,Third,man,True,,Southampton,yes,True,3,
0,2,male,27.0,0,0,13.8986484586849,S,Second,man,True,,Southampton,no,True,2,375.2635083844924
0,3,male,51.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,c,Third,man,True,,Southampton,no,True,3,
1,1,male,456.0,1,0,89.93733547646744,s,First,man,True,C,Southampton,yes,False,1,41011.42497726916
0,3,male,22.0,0,0,,Q,Third,man,True,,Southampton,no,True,3,
1,2,male,19.0,0,0,,,Second,man,True,,Southampton,yes,True,2,
0,3,MALE,20.5,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,2,male,,0,0,,S,Second,man,True,,Southampton,no,True,2,
0,3,FEMALE,,3,1,,S,Third,woman,False,,Southampton,no,False,3,
1,1,female,35.0,1,0,,C,First,woman,False,C,Southampton,yes,False,1,
0,3,male,29.0,0,0,,C,Third,man,True,,Southampton,no,True,3,
0,2,male,59.0,0,0,13.123299570096435,S,Second,man,True,,Southampton,no,True,2,774.2746746356897
1,3,female,5.0,4,2,,S,Third,child,False,,Southampton,yes,False,3,
0,2,male,288.0,0,0,10.141234063904854,,Second,man,True,,Southampton,no,True,2,2920.6754104045976
0,3,female,,0,0,,C,Third,woman,False,,Southampton,no,True,3,
0,2,male,,1,0,,s,Second,man,True,,Southampton,no,False,2,
1,2,female,8.0,0,2,26.843926734422645,,Second,child,False,,Southampton,yes,False,2,214.7514138753812
0,2,male,19.0,0,0,11.285812009296809,s,Second,man,True,,Southampton,no,True,2,214.43042817663937
0,2,male,33.0,0,0,11.477186251662664,S,Second,man,True,,Southampton,no,True,2,378.7471463048679
0,3,female,,1,0,,S,Third,woman,False,,Cherbourg,no,False,3,
1,3,FEMALE,,1,0,,S,Third,woman,False,,Queenstown,yes,False,3,
0,2,MALE,29.0,0,0,11.305890228547826,C,Second,man,True,,Southampton,no,True,2,327.87081662788694
0,3,MALE,264.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,3,male,30.0,0,0,,Q,Third,man,True,,Cherbourg,no,True,3,
0,1,male,44.0,2,0,89.48281691619393,,First,man,True,C,Queenstown,no,False,1,3937.2439443125327
0,3,FEMALE,25.0,0,0,,s,Third,woman,False,,Southampton,no,True,3,
1,2,female,24.0,0,2,12.178043582658187,S,Second,woman,False,,Southampton,yes,False,2,292.2730459837965
1,1,MALE,37.0,1,1,53.08768507682453,,First,man,True,D,Southampton,yes,False,1,1964.2443478425075
0,2,MALE,54.0,1,0,,c,Second,man,True,,Southampton,no,False,2,
0,3,MALE,,0,0,,,Third,man,True,,Southampton,no,True,3,
0,3,female,348.0,1,1,,s,Third,woman,False,G,Southampton,no,False,3,
0,1,male,744.0,0,0,28.14101930577512,S,First,man,True,C,Southampton,no,True,1,20936.918363496687
0,3,MALE,360.0,1,0,,S,Third,man,True,,Southampton,no,False,3,
0,3,female,41.0,0,2,,S,Third,woman,False,,Southampton,no,False,3,
1,3,female,29.0,0,2,,,Third,woman,False,,Cherbourg,yes,False,3,
1,1,female,,0,0,78.8277275157144,Q,First,woman,False,,Cherbourg,yes,True,1,
1,1,FEMALE,30.0,0,0,87.25407593315809,S,First,woman,False,B,Southampton,yes,True,1,2617.622277994743
1,1,female,35.0,0,0,513.1747260998852,S,First,woman,False,,Cherbourg,yes,True,1,17961.115413495983
1,2,female,50.0,0,1,26.934427783231307,S,Second,woman,False,,Southampton,yes,False,2,1346.7213891615654
0,3,male,,0,0,,S,Third,man,True,,Queenstown,no,True,3,
1,3,male,3.0,4,2,,S,Third,child,False,,Southampton,yes,False,3,
0,1,MALE,624.0,1,1,79.3878548561321,S,First,man,True,E,Southampton,no,False,1,49538.02143022643
0,1,male,40.0,0,0,-0.8177154757301307,,First,man,True,B,Southampton,no,True,1,-32.70861902920523
0,3,female,,0,0,,s,Third,woman,False,,Queenstown,no,True,3,
0,2,MALE,36.0,0,0,11.08224447756376,,Second,man,True,,Southampton,no,True,2,398.9608011922954
0,3,male,192.0,4,1,,S,Third,man,True,,Southampton,no,False,3,
1,3,male,25.0,1,0,,S,Third,man,True,,Southampton,yes,False,3,
1,1,female,58.0,0,1,,s,First,woman,False,C,Southampton,yes,False,1,
1,1,female,420.0,0,0,,C,First,woman,False,C,Southampton,yes,True,1,
0,1,male,,0,0,31.18729554982322,S,First,man,True,,Southampton,no,True,1,
1,3,MALE,25.0,0,0,,S,Third,man,True,,Southampton,yes,True,3,
1,2,FEMALE,41.0,0,1,19.55633628681212,Q,Second,woman,False,,Southampton,yes,False,2,801.809787759297
0,1,MALE,37.0,0,1,31.326380405668637,s,First,man,True,C,Cherbourg,no,False,1,1159.0760750097395
1,3,FEMALE,,0,0,,S,Third,woman,False,,Queenstown,yes,True,3,
1,1,female,63.0,1,0,77.23405346794165,s,First,woman,False,D,Southampton,yes,False,1,4865.745368480324
0,3,female,,0,0,,S,Third,woman,False,,Southampton,no,True,3,
0,2,male,,0,0,0.1112767680532756,S,Second,man,True,,Southampton,no,True,2,
0,3,male,7.0,4,1,,,Third,child,False,,Queenstown,no,False,3,
1,3,female,35.0,1,1,,Q,Third,woman,False,,Southampton,yes,False,3,
0,3,male,65.0,0,0,,S,Third,man,True,,Queenstown,no,True,3,
0,3,MALE,150.0,0,0,,s,Third,man,True,,Southampton,no,True,3,
0,3,male,,0,0,,,Third,man,True,,Southampton,no,True,3,
1,3,male,19.0,0,0,,S,Third,man,True,,Southampton,yes,True,3,
0,1,male,,0,0,25.844434305478163,S,First,man,True,A,Southampton,no,True,1,
0,3,male,33.0,0,0,,s,Third,man,True,,Cherbourg,no,True,3,
1,3,male,30.0,0,0,,s,Third,man,True,,Southampton,yes,True,3,
0,3,male,264.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
1,2,male,42.0,0,0,11.687817522472216,S,Second,man,True,,Southampton,yes,True,2,490.8883359438331
1,3,female,22.0,0,0,,C,Third,woman,False,,Queenstown,yes,True,3,
1,1,female,26.0,0,0,78.78172237736065,S,First,woman,False,,Southampton,yes,True,1,2048.324781811377
1,1,female,19.0,1,0,90.86246348559575,S,First,woman,False,B,Cherbourg,yes,False,1,1726.386806226319
0,2,male,150.0,0,0,,s,Second,man,True,D,Cherbourg,no,True,2,
0,3,FEMALE,24.0,0,0,,S,Third,woman,False,,Southampton,no,True,3,
0,3,male,288.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
0,1,male,150.0,0,0,,s,First,man,True,,Cherbourg,no,True,1,
0,3,male,23.5,0,0,,s,Third,man,True,,Cherbourg,no,True,3,
0,1,female,,1,2,,S,First,child,False,C,Southampton,no,False,1,
1,1,male,,0,0,29.57221589093924,c,First,man,True,C,Southampton,yes,True,1,
1,1,female,,0,1,,C,First,woman,False,B,Cherbourg,yes,False,1,
1,3,female,150.0,0,0,,S,Third,woman,False,,Queenstown,yes,True,3,
1,3,male,,2,0,,S,Third,man,True,,Queenstown,yes,False,3,
0,3,male,19.0,0,0,,S,Third,man,True,,Southampton,no,True,3,
1,2,female,1800.0,0,0,5123.742891375213,,Second,woman,False,E,Queenstown,yes,True,2,9222737.204475382
0,3,male,,0,0,,S,Third,man,True,,Southampton,no,True,3,
1,1,male,0.92,1,2,151.18375830252182,Q,First,child,False,C,Southampton,yes,False,1,139.08905763832007
1,1,FEMALE,,0,0,110.37945324717514,,First,woman,False,,Cherbourg,yes,True,1,
1,1,female,204.0,1,0,110.29928334127004,s,First,woman,False,C,Cherbourg,yes,False,1,22501.05380161909
0,2,male,360.0,1,0,24.166661687057324,C,Second,man,True,,Cherbourg,no,False,2,8699.998207340637
1,1,female,30.0,0,0,56.55501972400982,S,First,woman,False,E,Cherbourg,yes,True,1,1696.6505917202944
1,1,female,24.0,0,0,,Q,First,woman,False,C,Cherbourg,yes,True,1,
1,1,female,18.0,2,2,262.3054217910788,C,First,woman,False,B,Cherbourg,yes,False,1,4721.497592239419
0,2,female,,1,1,,S,Second,woman,False,,Southampton,no,False,2,
0,3,male,28.0,0,0,,s,Third,man,True,,Southampton,no,True,3,
0,2,MALE,43.0,1,1,25.79689413201929,,Second,man,True,,Southampton,no,False,2,1109.266447676829
